EventCounter,Sync,Aux,Fz,Mx,My,COPx,COPy
193392.000000,0.000000,0.000000,826.746582,23.476870,31.423893,-0.038009,0.028397
193393.000000,0.000000,0.000000,826.463379,23.456652,31.446232,-0.038049,0.028382
193394.000000,0.000000,0.000000,826.462402,23.377398,31.446156,-0.038049,0.028286
193395.000000,0.000000,0.000000,826.556641,23.357744,31.423908,-0.038018,0.028259
193396.000000,0.000000,0.000000,826.650879,23.337862,31.401447,-0.037986,0.028232
193397.000000,0.000000,0.000000,826.650391,23.298372,31.401478,-0.037986,0.028184
193398.000000,0.000000,0.000000,826.555176,23.238756,31.423603,-0.038018,0.028115
193399.000000,0.000000,0.000000,826.649414,23.219103,31.401356,-0.037986,0.028088
193400.000000,0.000000,0.000000,826.459961,23.179262,31.401463,-0.037995,0.028046
193401.000000,0.000000,0.000000,826.459473,23.139559,31.401340,-0.037995,0.027998
193402.000000,0.000000,0.000000,826.270020,23.099688,31.401447,-0.038004,0.027957
193403.000000,0.000000,0.000000,826.364258,23.079973,31.379200,-0.037973,0.027930
193404.000000,0.000000,0.000000,826.552734,23.040606,31.378986,-0.037964,0.027876
193405.000000,0.000000,0.000000,826.363281,23.000734,31.379078,-0.037972,0.027834
193406.000000,0.000000,0.000000,826.268555,22.980730,31.356907,-0.037950,0.027813
193407.000000,0.000000,0.000000,826.173828,22.960741,31.334721,-0.037928,0.027792
193408.000000,0.000000,0.000000,826.078613,22.940737,31.312534,-0.037905,0.027771
193409.000000,0.000000,0.000000,826.172852,22.881533,31.334599,-0.037927,0.027696
193410.000000,0.000000,0.000000,826.078125,22.861528,31.312428,-0.037905,0.027675
193411.000000,0.000000,0.000000,826.078125,22.861528,31.312428,-0.037905,0.027675
193412.000000,0.000000,0.000000,825.888672,22.821672,31.312519,-0.037914,0.027633
193413.000000,0.000000,0.000000,825.983398,22.841661,31.334705,-0.037936,0.027654
193414.000000,0.000000,0.000000,825.888672,22.821672,31.312519,-0.037914,0.027633
193415.000000,0.000000,0.000000,825.793945,22.801668,31.290348,-0.037891,0.027612
193416.000000,0.000000,0.000000,825.792969,22.762011,31.245914,-0.037837,0.027564
193417.000000,0.000000,0.000000,825.887207,22.742235,31.267948,-0.037860,0.027537
193418.000000,0.000000,0.000000,825.791992,22.682711,31.245792,-0.037837,0.027468
193419.000000,0.000000,0.000000,825.886230,22.662996,31.267857,-0.037860,0.027441
193420.000000,0.000000,0.000000,825.791504,22.643007,31.245686,-0.037837,0.027420
193421.000000,0.000000,0.000000,825.508301,22.622820,31.268024,-0.037877,0.027405
193422.000000,0.000000,0.000000,825.696777,22.583452,31.267811,-0.037868,0.027351
193423.000000,0.000000,0.000000,825.602051,22.603167,31.245777,-0.037846,0.027378
193424.000000,0.000000,0.000000,825.602051,22.603167,31.245777,-0.037846,0.027378
193425.000000,0.000000,0.000000,825.412598,22.563265,31.245884,-0.037855,0.027336
193426.000000,0.000000,0.000000,825.601562,22.563509,31.201359,-0.037792,0.027330
193427.000000,0.000000,0.000000,825.601074,22.523806,31.201206,-0.037792,0.027282
193428.000000,0.000000,0.000000,825.601074,22.523806,31.201206,-0.037792,0.027282
193429.000000,0.000000,0.000000,825.601074,22.523806,31.201206,-0.037792,0.027282
193430.000000,0.000000,0.000000,825.412109,22.523623,31.201450,-0.037801,0.027288
193431.000000,0.000000,0.000000,825.506348,22.503969,31.179203,-0.037770,0.027261
193432.000000,0.000000,0.000000,825.600098,22.484148,31.156773,-0.037738,0.027234
193433.000000,0.000000,0.000000,825.411621,22.483904,31.201298,-0.037801,0.027240
193434.000000,0.000000,0.000000,825.505859,22.464251,31.179050,-0.037770,0.027213
193435.000000,0.000000,0.000000,825.505859,22.464251,31.179050,-0.037770,0.027213
193436.000000,0.000000,0.000000,825.694336,22.464495,31.134525,-0.037707,0.027207
193437.000000,0.000000,0.000000,825.599609,22.444490,31.112354,-0.037685,0.027186
193438.000000,0.000000,0.000000,825.693848,22.424715,31.134388,-0.037707,0.027159
193439.000000,0.000000,0.000000,825.599121,22.404711,31.112202,-0.037684,0.027138
193440.000000,0.000000,0.000000,825.598633,22.404833,31.067921,-0.037631,0.027138
193441.000000,0.000000,0.000000,825.693359,22.385057,31.089954,-0.037653,0.027111
193442.000000,0.000000,0.000000,825.503906,22.384844,31.045750,-0.037608,0.027117
193443.000000,0.000000,0.000000,825.692871,22.384905,31.045506,-0.037599,0.027110
193444.000000,0.000000,0.000000,825.598145,22.404680,31.023472,-0.037577,0.027138
193445.000000,0.000000,0.000000,825.693359,22.424669,31.045643,-0.037599,0.027159
193446.000000,0.000000,0.000000,825.693359,22.424669,31.045643,-0.037599,0.027159
193447.000000,0.000000,0.000000,825.976074,22.405107,31.023121,-0.037559,0.027126
