EventCounter,Sync,Aux,Fz,Mx,My,COPx,COPy
319136.000000,0.000000,0.000000,636.970215,9.555614,-39.165455,0.061487,0.015002
319137.000000,0.000000,0.000000,636.970215,9.555614,-39.165455,0.061487,0.015002
319138.000000,0.000000,0.000000,636.970215,9.555614,-39.165455,0.061487,0.015002
319139.000000,0.000000,0.000000,636.875977,9.575390,-39.187489,0.061531,0.015035
319140.000000,0.000000,0.000000,636.687012,9.575100,-39.231709,0.061619,0.015039
319141.000000,0.000000,0.000000,636.497559,9.574749,-39.231647,0.061637,0.015043
319142.000000,0.000000,0.000000,636.497559,9.574749,-39.231647,0.061637,0.015043
319143.000000,0.000000,0.000000,636.309082,9.574398,-39.231525,0.061655,0.015047
319144.000000,0.000000,0.000000,636.214355,9.594112,-39.253559,0.061699,0.015080
319145.000000,0.000000,0.000000,636.214355,9.594234,-39.297901,0.061768,0.015080
319146.000000,0.000000,0.000000,636.120117,9.613888,-39.275623,0.061742,0.015113
319147.000000,0.000000,0.000000,635.742188,9.613430,-39.275318,0.061779,0.015122
319148.000000,0.000000,0.000000,635.553223,9.613140,-39.319538,0.061867,0.015126
319149.000000,0.000000,0.000000,635.458496,9.632915,-39.341572,0.061911,0.015159
319150.000000,0.000000,0.000000,635.458496,9.632915,-39.341572,0.061911,0.015159
319151.000000,0.000000,0.000000,635.458496,9.632915,-39.341572,0.061911,0.015159
319152.000000,0.000000,0.000000,635.363770,9.612911,-39.363758,0.061955,0.015130
319153.000000,0.000000,0.000000,635.270020,9.672115,-39.385822,0.061999,0.015225
319154.000000,0.000000,0.000000,635.080078,9.632351,-39.430042,0.062087,0.015167
319155.000000,0.000000,0.000000,634.796875,9.651775,-39.451984,0.062149,0.015205
319156.000000,0.000000,0.000000,634.702637,9.631908,-39.429707,0.062123,0.015175
319157.000000,0.000000,0.000000,634.702637,9.671429,-39.474018,0.062193,0.015238
319158.000000,0.000000,0.000000,634.607910,9.690975,-39.496235,0.062237,0.015271
319159.000000,0.000000,0.000000,634.324707,9.710567,-39.518055,0.062299,0.015309
319160.000000,0.000000,0.000000,634.229980,9.690563,-39.540241,0.062344,0.015279
319161.000000,0.000000,0.000000,634.324707,9.670849,-39.518177,0.062300,0.015246
319162.000000,0.000000,0.000000,634.229492,9.690411,-39.584705,0.062414,0.015279
319163.000000,0.000000,0.000000,634.135254,9.710186,-39.606739,0.062458,0.015312
319164.000000,0.000000,0.000000,634.135254,9.749767,-39.651051,0.062528,0.015375
319165.000000,0.000000,0.000000,633.852051,9.729610,-39.672993,0.062590,0.015350
319166.000000,0.000000,0.000000,633.852051,9.729610,-39.672993,0.062590,0.015350
319167.000000,0.000000,0.000000,633.852051,9.769192,-39.717304,0.062660,0.015412
319168.000000,0.000000,0.000000,633.662598,9.729321,-39.717182,0.062679,0.015354
319169.000000,0.000000,0.000000,633.756836,9.749310,-39.783772,0.062775,0.015383
319170.000000,0.000000,0.000000,633.567871,9.748974,-39.783710,0.062793,0.015387
319171.000000,0.000000,0.000000,633.662109,9.768841,-39.850269,0.062889,0.015416
319172.000000,0.000000,0.000000,633.567383,9.748837,-39.872456,0.062933,0.015387
319173.000000,0.000000,0.000000,633.567383,9.748837,-39.872456,0.062933,0.015387
319174.000000,0.000000,0.000000,633.472656,9.768612,-39.894489,0.062977,0.015421
319175.000000,0.000000,0.000000,633.472656,9.768475,-39.938953,0.063048,0.015421
319176.000000,0.000000,0.000000,633.566406,9.748821,-39.961201,0.063073,0.015387
319177.000000,0.000000,0.000000,633.472168,9.768536,-39.983234,0.063118,0.015421
319178.000000,0.000000,0.000000,633.472168,9.768536,-39.983234,0.063118,0.015421
319179.000000,0.000000,0.000000,633.565918,9.709164,-40.005634,0.063144,0.015325
319180.000000,0.000000,0.000000,633.377441,9.748531,-40.005421,0.063162,0.015391
319181.000000,0.000000,0.000000,633.471191,9.768459,-40.071980,0.063258,0.015421
319182.000000,0.000000,0.000000,633.470703,9.768368,-40.160755,0.063398,0.015420
319183.000000,0.000000,0.000000,633.470703,9.768368,-40.160755,0.063398,0.015420
319184.000000,0.000000,0.000000,633.375977,9.708874,-40.182911,0.063442,0.015329
319185.000000,0.000000,0.000000,633.659668,9.768581,-40.205311,0.063449,0.015416
319186.000000,0.000000,0.000000,633.659180,9.768444,-40.249775,0.063520,0.015416
319187.000000,0.000000,0.000000,633.564453,9.748440,-40.271961,0.063564,0.015387
319188.000000,0.000000,0.000000,633.752441,9.709133,-40.316456,0.063615,0.015320
319189.000000,0.000000,0.000000,633.658203,9.728848,-40.338490,0.063660,0.015353
319190.000000,0.000000,0.000000,633.941406,9.749035,-40.360828,0.063667,0.015378
319191.000000,0.000000,0.000000,633.846680,9.729031,-40.383015,0.063711,0.015349
319192.000000,0.000000,0.000000,634.035156,9.729275,-40.427540,0.063762,0.015345
319193.000000,0.000000,0.000000,633.940918,9.748989,-40.449574,0.063807,0.015378
319194.000000,0.000000,0.000000,634.129883,9.749172,-40.494099,0.063858,0.015374
319195.000000,0.000000,0.000000,634.223145,9.729321,-40.516529,0.063884,0.015341
319196.000000,0.000000,0.000000,634.412598,9.729534,-40.561054,0.063935,0.015336
319197.000000,0.000000,0.000000,634.695801,9.749722,-40.583393,0.063941,0.015361
319198.000000,0.000000,0.000000,634.695312,9.710232,-40.583363,0.063941,0.015299
319199.000000,0.000000,0.000000,634.694824,9.710064,-40.672108,0.064081,0.015299
319200.000000,0.000000,0.000000,634.788574,9.729961,-40.694386,0.064107,0.015328
319201.000000,0.000000,0.000000,634.977051,9.690655,-40.738911,0.064158,0.015261
319202.000000,0.000000,0.000000,635.071777,9.710491,-40.761189,0.064184,0.015290
319203.000000,0.000000,0.000000,635.260254,9.671124,-40.761402,0.064165,0.015224
319204.000000,0.000000,0.000000,635.448730,9.671337,-40.805927,0.064216,0.015220
319205.000000,0.000000,0.000000,635.543457,9.691402,-40.828022,0.064241,0.015249
319206.000000,0.000000,0.000000,635.731934,9.691387,-40.872730,0.064292,0.015244
319207.000000,0.000000,0.000000,635.920410,9.691601,-40.917255,0.064343,0.015240
319208.000000,0.000000,0.000000,635.826172,9.711315,-40.939289,0.064388,0.015274
319209.000000,0.000000,0.000000,635.826172,9.711315,-40.939289,0.064388,0.015274
319210.000000,0.000000,0.000000,636.014648,9.711529,-40.983845,0.064439,0.015269
319211.000000,0.000000,0.000000,636.014160,9.711590,-41.028126,0.064508,0.015269
319212.000000,0.000000,0.000000,636.108398,9.731335,-41.094868,0.064604,0.015298
319213.000000,0.000000,0.000000,636.108887,9.771038,-41.094715,0.064603,0.015361
319214.000000,0.000000,0.000000,636.202637,9.751232,-41.161427,0.064699,0.015327
319215.000000,0.000000,0.000000,636.297363,9.771099,-41.183704,0.064724,0.015356
319216.000000,0.000000,0.000000,636.297363,9.771099,-41.183704,0.064724,0.015356
319217.000000,0.000000,0.000000,636.485840,9.810925,-41.272572,0.064844,0.015414
319218.000000,0.000000,0.000000,636.485840,9.810925,-41.272572,0.064844,0.015414
319219.000000,0.000000,0.000000,636.580566,9.830822,-41.294849,0.064870,0.015443
319220.000000,0.000000,0.000000,636.486328,9.890087,-41.361195,0.064984,0.015539
319221.000000,0.000000,0.000000,636.580566,9.909954,-41.383472,0.065009,0.015567
319222.000000,0.000000,0.000000,636.674805,9.929943,-41.450031,0.065104,0.015597
319223.000000,0.000000,0.000000,636.580566,9.949429,-41.516499,0.065218,0.015629
319224.000000,0.000000,0.000000,636.769043,9.989162,-41.561054,0.065269,0.015687
319225.000000,0.000000,0.000000,636.580566,9.989071,-41.560841,0.065288,0.015692
319226.000000,0.000000,0.000000,636.485352,10.008648,-41.627338,0.065402,0.015725
319227.000000,0.000000,0.000000,636.674805,10.048489,-41.627460,0.065383,0.015783
319228.000000,0.000000,0.000000,636.768555,10.028728,-41.694172,0.065478,0.015749
319229.000000,0.000000,0.000000,636.674805,10.087994,-41.760517,0.065592,0.015845
319230.000000,0.000000,0.000000,636.674805,10.127636,-41.804829,0.065661,0.015907
319231.000000,0.000000,0.000000,636.674805,10.127636,-41.804829,0.065661,0.015907
319232.000000,0.000000,0.000000,636.579590,10.147228,-41.871357,0.065776,0.015940
319233.000000,0.000000,0.000000,636.674316,10.206676,-41.937946,0.065870,0.016031
319234.000000,0.000000,0.000000,636.864258,10.246502,-41.938038,0.065851,0.016089
319235.000000,0.000000,0.000000,636.769043,10.266094,-42.004536,0.065965,0.016122
319236.000000,0.000000,0.000000,636.769043,10.266216,-42.048847,0.066035,0.016122
319237.000000,0.000000,0.000000,636.864258,10.325787,-42.071003,0.066060,0.016213
319238.000000,0.000000,0.000000,636.864746,10.404858,-42.115314,0.066129,0.016338
319239.000000,0.000000,0.000000,636.863770,10.404797,-42.204090,0.066269,0.016338
319240.000000,0.000000,0.000000,637.052246,10.404919,-42.204334,0.066249,0.016333
319241.000000,0.000000,0.000000,636.958496,10.424633,-42.226368,0.066294,0.016366
319242.000000,0.000000,0.000000,636.958496,10.464306,-42.270710,0.066363,0.016429
319243.000000,0.000000,0.000000,637.053711,10.523846,-42.292835,0.066388,0.016520
319244.000000,0.000000,0.000000,637.242188,10.524059,-42.337360,0.066438,0.016515
319245.000000,0.000000,0.000000,637.147949,10.583294,-42.359455,0.066483,0.016610
319246.000000,0.000000,0.000000,637.242676,10.603130,-42.381733,0.066508,0.016639
319247.000000,0.000000,0.000000,637.147949,10.622753,-42.448231,0.066622,0.016672
319248.000000,0.000000,0.000000,637.336426,10.622936,-42.492756,0.066672,0.016668
319249.000000,0.000000,0.000000,637.242188,10.642712,-42.514790,0.066717,0.016701
319250.000000,0.000000,0.000000,637.431641,10.682568,-42.514881,0.066697,0.016759
319251.000000,0.000000,0.000000,637.620117,10.722271,-42.603718,0.066817,0.016816
319252.000000,0.000000,0.000000,637.620117,10.722271,-42.603718,0.066817,0.016816
319253.000000,0.000000,0.000000,637.620605,10.761929,-42.559284,0.066747,0.016878
319254.000000,0.000000,0.000000,637.809570,10.801785,-42.648121,0.066867,0.016936
319255.000000,0.000000,0.000000,637.809082,10.801647,-42.692585,0.066936,0.016936
319256.000000,0.000000,0.000000,637.809570,10.841366,-42.692463,0.066936,0.016998
319257.000000,0.000000,0.000000,637.809570,10.880947,-42.736774,0.067006,0.017060
319258.000000,0.000000,0.000000,637.998535,10.881069,-42.737049,0.066986,0.017055
319259.000000,0.000000,0.000000,637.903809,10.861065,-42.759235,0.067031,0.017026
319260.000000,0.000000,0.000000,637.903809,10.900784,-42.759083,0.067031,0.017088
319261.000000,0.000000,0.000000,637.904297,10.940426,-42.803394,0.067100,0.017151
319262.000000,0.000000,0.000000,637.903809,10.940289,-42.847858,0.067170,0.017150
319263.000000,0.000000,0.000000,638.093262,10.980190,-42.892231,0.067219,0.017208
319264.000000,0.000000,0.000000,638.093262,10.980190,-42.892231,0.067219,0.017208
319265.000000,0.000000,0.000000,638.092285,10.980145,-42.980976,0.067359,0.017208
319266.000000,0.000000,0.000000,637.903809,11.019512,-42.980793,0.067378,0.017275
319267.000000,0.000000,0.000000,637.998047,10.999859,-43.003040,0.067403,0.017241
319268.000000,0.000000,0.000000,638.092773,11.019695,-43.025318,0.067428,0.017270
319269.000000,0.000000,0.000000,638.187988,11.079220,-43.003162,0.067383,0.017360
319270.000000,0.000000,0.000000,638.093750,11.098934,-43.025196,0.067428,0.017394
319271.000000,0.000000,0.000000,638.093262,11.098797,-43.069660,0.067497,0.017394
319272.000000,0.000000,0.000000,638.281738,11.098980,-43.114185,0.067547,0.017389
319273.000000,0.000000,0.000000,638.093262,11.138409,-43.113972,0.067567,0.017456
319274.000000,0.000000,0.000000,638.187500,11.118755,-43.136219,0.067592,0.017422
319275.000000,0.000000,0.000000,638.093262,11.138317,-43.158436,0.067637,0.017456
319276.000000,0.000000,0.000000,637.998535,11.158031,-43.180470,0.067681,0.017489
