EventCounter,Sync,Aux,Fz,Mx,My,COPx,COPy
87333.000000,0.000000,0.000000,653.168945,44.913544,4.598272,-0.007040,0.068763
87334.000000,0.000000,0.000000,653.167969,44.873825,4.553838,-0.006972,0.068702
87335.000000,0.000000,0.000000,653.167969,44.873825,4.553838,-0.006972,0.068702
87336.000000,0.000000,0.000000,652.883789,44.814133,4.576208,-0.007009,0.068640
87337.000000,0.000000,0.000000,652.789551,44.794235,4.598485,-0.007044,0.068620
87338.000000,0.000000,0.000000,652.883301,44.734863,4.576116,-0.007009,0.068519
87339.000000,0.000000,0.000000,652.978027,44.754868,4.598302,-0.007042,0.068540
87340.000000,0.000000,0.000000,652.883301,44.734863,4.576116,-0.007009,0.068519
87341.000000,0.000000,0.000000,652.789062,44.754517,4.598363,-0.007044,0.068559
87342.000000,0.000000,0.000000,652.788574,44.714859,4.553960,-0.006976,0.068498
87343.000000,0.000000,0.000000,652.788086,44.675308,4.598272,-0.007044,0.068438
87344.000000,0.000000,0.000000,652.693848,44.655441,4.620550,-0.007079,0.068417
87345.000000,0.000000,0.000000,652.598633,44.635452,4.598363,-0.007046,0.068396
87346.000000,0.000000,0.000000,652.693359,44.655319,4.576086,-0.007011,0.068417
87347.000000,0.000000,0.000000,652.598633,44.635452,4.598363,-0.007046,0.068396
87348.000000,0.000000,0.000000,652.503418,44.575928,4.576208,-0.007013,0.068315
87349.000000,0.000000,0.000000,652.692383,44.576157,4.620428,-0.007079,0.068296
87350.000000,0.000000,0.000000,652.503418,44.536316,4.620519,-0.007081,0.068255
87351.000000,0.000000,0.000000,652.597656,44.516663,4.642553,-0.007114,0.068215
87352.000000,0.000000,0.000000,652.408691,44.516312,4.598333,-0.007048,0.068234
87353.000000,0.000000,0.000000,652.502930,44.496658,4.620367,-0.007081,0.068194
87354.000000,0.000000,0.000000,652.502930,44.496658,4.576055,-0.007013,0.068194
87355.000000,0.000000,0.000000,652.597168,44.477005,4.598089,-0.007046,0.068154
87356.000000,0.000000,0.000000,652.597168,44.437363,4.642400,-0.007114,0.068093
87357.000000,0.000000,0.000000,652.597168,44.437363,4.642400,-0.007114,0.068093
87358.000000,0.000000,0.000000,652.502930,44.457016,4.664678,-0.007149,0.068133
87359.000000,0.000000,0.000000,652.408691,44.476791,4.642644,-0.007116,0.068173
87360.000000,0.000000,0.000000,652.407715,44.437134,4.598180,-0.007048,0.068113
87361.000000,0.000000,0.000000,652.502441,44.417358,4.620214,-0.007081,0.068072
87362.000000,0.000000,0.000000,652.502441,44.417358,4.620214,-0.007081,0.068072
87363.000000,0.000000,0.000000,652.502441,44.417358,4.620214,-0.007081,0.068072
87364.000000,0.000000,0.000000,652.596680,44.397644,4.642278,-0.007114,0.068032
87365.000000,0.000000,0.000000,652.691406,44.417648,4.664464,-0.007147,0.068053
87366.000000,0.000000,0.000000,652.785645,44.397934,4.686498,-0.007179,0.068013
