EventCounter,Sync,Aux,Fz,Mx,My,COPx,COPy
210465.000000,0.000000,0.000000,913.373535,22.246727,-8.547688,0.009358,0.024357
210466.000000,0.000000,0.000000,913.468262,22.266731,-8.525502,0.009333,0.024376
210467.000000,0.000000,0.000000,913.373535,22.246727,-8.547688,0.009358,0.024357
210468.000000,0.000000,0.000000,913.184570,22.246605,-8.547444,0.009360,0.024362
210469.000000,0.000000,0.000000,913.185547,22.286095,-8.547475,0.009360,0.024405
210470.000000,0.000000,0.000000,913.090332,22.266090,-8.569646,0.009385,0.024385
210471.000000,0.000000,0.000000,913.090820,22.305809,-8.569539,0.009385,0.024429
210472.000000,0.000000,0.000000,913.185547,22.286095,-8.547475,0.009360,0.024405
210473.000000,0.000000,0.000000,913.091309,22.305748,-8.525197,0.009337,0.024429
210474.000000,0.000000,0.000000,913.091309,22.305748,-8.525197,0.009337,0.024429
210475.000000,0.000000,0.000000,913.185547,22.286095,-8.547475,0.009360,0.024405
210476.000000,0.000000,0.000000,912.807617,22.285622,-8.547154,0.009364,0.024414
210477.000000,0.000000,0.000000,912.997070,22.325493,-8.547261,0.009362,0.024453
210478.000000,0.000000,0.000000,912.901855,22.305489,-8.569432,0.009387,0.024434
210479.000000,0.000000,0.000000,912.902344,22.345238,-8.569295,0.009387,0.024477
210480.000000,0.000000,0.000000,912.997070,22.325493,-8.547261,0.009362,0.024453
210481.000000,0.000000,0.000000,912.997070,22.325493,-8.547261,0.009362,0.024453
210482.000000,0.000000,0.000000,912.902832,22.345146,-8.525014,0.009338,0.024477
210483.000000,0.000000,0.000000,912.902832,22.345146,-8.525014,0.009338,0.024477
210484.000000,0.000000,0.000000,912.902832,22.345146,-8.525014,0.009338,0.024477
210485.000000,0.000000,0.000000,912.808594,22.364891,-8.547048,0.009363,0.024501
210486.000000,0.000000,0.000000,912.808594,22.364799,-8.502767,0.009315,0.024501
210487.000000,0.000000,0.000000,912.714355,22.384544,-8.524800,0.009340,0.024525
210488.000000,0.000000,0.000000,912.809082,22.404549,-8.502614,0.009315,0.024545
210489.000000,0.000000,0.000000,912.997559,22.404762,-8.547139,0.009362,0.024540
210490.000000,0.000000,0.000000,912.902832,22.384758,-8.569325,0.009387,0.024520
210491.000000,0.000000,0.000000,912.903809,22.424416,-8.524892,0.009338,0.024564
210492.000000,0.000000,0.000000,913.092773,22.464287,-8.524999,0.009336,0.024602
210493.000000,0.000000,0.000000,913.092773,22.464287,-8.524999,0.009336,0.024602
210494.000000,0.000000,0.000000,913.092773,22.464348,-8.569280,0.009385,0.024602
210495.000000,0.000000,0.000000,913.187988,22.484276,-8.502812,0.009311,0.024622
210496.000000,0.000000,0.000000,912.998535,22.484001,-8.547032,0.009361,0.024627
210497.000000,0.000000,0.000000,913.092773,22.464287,-8.524999,0.009336,0.024602
210498.000000,0.000000,0.000000,913.282227,22.504112,-8.525090,0.009335,0.024641
210499.000000,0.000000,0.000000,913.282227,22.504112,-8.525090,0.009335,0.024641
210500.000000,0.000000,0.000000,913.282227,22.464622,-8.525060,0.009335,0.024598
210501.000000,0.000000,0.000000,913.187988,22.523827,-8.547124,0.009360,0.024665
210502.000000,0.000000,0.000000,913.282227,22.504112,-8.525090,0.009335,0.024641
210503.000000,0.000000,0.000000,913.188477,22.563347,-8.547154,0.009360,0.024708
210504.000000,0.000000,0.000000,913.282715,22.543694,-8.569402,0.009383,0.024684
210505.000000,0.000000,0.000000,913.471191,22.544044,-8.569463,0.009381,0.024680
210506.000000,0.000000,0.000000,913.472168,22.583565,-8.569493,0.009381,0.024723
210507.000000,0.000000,0.000000,913.566406,22.603401,-8.591786,0.009405,0.024742
210508.000000,0.000000,0.000000,913.660645,22.583687,-8.569753,0.009380,0.024718
210509.000000,0.000000,0.000000,913.566895,22.603569,-8.547322,0.009356,0.024742
210510.000000,0.000000,0.000000,913.661133,22.623405,-8.569615,0.009379,0.024761
210511.000000,0.000000,0.000000,913.661133,22.623405,-8.569615,0.009379,0.024761
210512.000000,0.000000,0.000000,913.755859,22.643303,-8.591893,0.009403,0.024780
210513.000000,0.000000,0.000000,913.851074,22.702843,-8.614018,0.009426,0.024843
210514.000000,0.000000,0.000000,913.944824,22.683128,-8.591985,0.009401,0.024819
210515.000000,0.000000,0.000000,914.040039,22.703133,-8.569814,0.009376,0.024838
210516.000000,0.000000,0.000000,913.945801,22.722847,-8.591847,0.009401,0.024862
210517.000000,0.000000,0.000000,914.040039,22.703133,-8.569814,0.009376,0.024838
210518.000000,0.000000,0.000000,913.945801,22.722649,-8.592015,0.009401,0.024862
210519.000000,0.000000,0.000000,914.229492,22.742943,-8.525624,0.009325,0.024877
210520.000000,0.000000,0.000000,914.229492,22.743004,-8.569905,0.009374,0.024877
210521.000000,0.000000,0.000000,914.512695,22.763161,-8.547963,0.009347,0.024891
210522.000000,0.000000,0.000000,914.418457,22.782875,-8.569997,0.009372,0.024915
210523.000000,0.000000,0.000000,914.418457,22.782875,-8.569997,0.009372,0.024915
210524.000000,0.000000,0.000000,914.513184,22.802864,-8.547826,0.009347,0.024934
210525.000000,0.000000,0.000000,914.702637,22.802986,-8.548070,0.009345,0.024929
210526.000000,0.000000,0.000000,914.607422,22.822609,-8.614552,0.009419,0.024953
210527.000000,0.000000,0.000000,914.796387,22.822945,-8.614629,0.009417,0.024949
210528.000000,0.000000,0.000000,914.797363,22.862434,-8.614675,0.009417,0.024992
210529.000000,0.000000,0.000000,914.607910,22.862251,-8.570134,0.009370,0.024997
210530.000000,0.000000,0.000000,914.702637,22.842598,-8.592381,0.009394,0.024973
210531.000000,0.000000,0.000000,914.891113,22.842781,-8.636922,0.009440,0.024968
210532.000000,0.000000,0.000000,914.892090,22.882439,-8.592488,0.009392,0.025011
210533.000000,0.000000,0.000000,914.986328,22.902306,-8.614766,0.009415,0.025030
210534.000000,0.000000,0.000000,914.986328,22.902306,-8.614766,0.009415,0.025030
210535.000000,0.000000,0.000000,915.080566,22.882652,-8.637013,0.009439,0.025006
210536.000000,0.000000,0.000000,915.269531,22.922523,-8.637120,0.009437,0.025045
210537.000000,0.000000,0.000000,915.269531,22.922523,-8.637120,0.009437,0.025045
210538.000000,0.000000,0.000000,915.175781,22.942177,-8.614873,0.009413,0.025069
210539.000000,0.000000,0.000000,915.270020,22.962013,-8.637151,0.009437,0.025088
210540.000000,0.000000,0.000000,915.270020,22.962013,-8.637151,0.009437,0.025088
210541.000000,0.000000,0.000000,915.364746,22.981819,-8.615148,0.009412,0.025107
210542.000000,0.000000,0.000000,915.364746,22.981880,-8.659429,0.009460,0.025107
210543.000000,0.000000,0.000000,915.553223,22.982216,-8.659490,0.009458,0.025102
210544.000000,0.000000,0.000000,915.459473,23.001869,-8.637242,0.009435,0.025126
210545.000000,0.000000,0.000000,915.553711,22.982155,-8.615209,0.009410,0.025102
210546.000000,0.000000,0.000000,915.648926,23.002159,-8.593038,0.009385,0.025121
210547.000000,0.000000,0.000000,915.837402,23.002373,-8.637563,0.009431,0.025116
210548.000000,0.000000,0.000000,915.743164,23.022087,-8.659596,0.009456,0.025140
210549.000000,0.000000,0.000000,915.743164,23.022087,-8.659596,0.009456,0.025140
210550.000000,0.000000,0.000000,915.743652,23.061745,-8.615163,0.009408,0.025184
210551.000000,0.000000,0.000000,915.838379,23.081612,-8.637441,0.009431,0.025203
210552.000000,0.000000,0.000000,915.838379,23.081612,-8.637441,0.009431,0.025203
210553.000000,0.000000,0.000000,915.838379,23.081612,-8.637441,0.009431,0.025203
210554.000000,0.000000,0.000000,915.932617,23.101479,-8.659734,0.009455,0.025222
210555.000000,0.000000,0.000000,916.121582,23.101830,-8.659795,0.009453,0.025217
210556.000000,0.000000,0.000000,916.122070,23.141319,-8.659825,0.009453,0.025260
210557.000000,0.000000,0.000000,916.121582,23.101768,-8.615514,0.009404,0.025217
210558.000000,0.000000,0.000000,916.121582,23.101768,-8.615514,0.009404,0.025217
210559.000000,0.000000,0.000000,916.216309,23.121605,-8.637792,0.009428,0.025236
210560.000000,0.000000,0.000000,916.217285,23.161308,-8.637654,0.009428,0.025279
210561.000000,0.000000,0.000000,916.216309,23.161186,-8.682103,0.009476,0.025279
210562.000000,0.000000,0.000000,916.311035,23.181175,-8.659932,0.009451,0.025298
210563.000000,0.000000,0.000000,916.311035,23.181175,-8.659932,0.009451,0.025298
210564.000000,0.000000,0.000000,916.405762,23.201042,-8.682210,0.009474,0.025317
210565.000000,0.000000,0.000000,916.406250,23.201180,-8.637746,0.009426,0.025318
210566.000000,0.000000,0.000000,916.500977,23.221046,-8.660024,0.009449,0.025337
210567.000000,0.000000,0.000000,916.500977,23.221046,-8.660024,0.009449,0.025337
210568.000000,0.000000,0.000000,916.500977,23.221046,-8.660024,0.009449,0.025337
210569.000000,0.000000,0.000000,916.405762,23.201042,-8.682210,0.009474,0.025317
210570.000000,0.000000,0.000000,916.405762,23.201042,-8.682210,0.009474,0.025317
210571.000000,0.000000,0.000000,916.595215,23.240883,-8.682302,0.009472,0.025356
210572.000000,0.000000,0.000000,916.595215,23.240883,-8.682302,0.009472,0.025356
210573.000000,0.000000,0.000000,916.500977,23.260597,-8.704335,0.009497,0.025380
210574.000000,0.000000,0.000000,916.500977,23.260597,-8.704335,0.009497,0.025380
210575.000000,0.000000,0.000000,916.595215,23.240883,-8.682302,0.009472,0.025356
210576.000000,0.000000,0.000000,916.595215,23.280495,-8.726613,0.009521,0.025399
210577.000000,0.000000,0.000000,916.689941,23.300499,-8.704442,0.009496,0.025418
210578.000000,0.000000,0.000000,916.595703,23.280434,-8.682332,0.009472,0.025399
210579.000000,0.000000,0.000000,916.595215,23.280495,-8.726613,0.009521,0.025399
210580.000000,0.000000,0.000000,916.406738,23.319923,-8.726430,0.009522,0.025447
210581.000000,0.000000,0.000000,916.501465,23.300148,-8.704366,0.009497,0.025423
210582.000000,0.000000,0.000000,916.595703,23.280434,-8.682332,0.009472,0.025399
210583.000000,0.000000,0.000000,916.690918,23.340019,-8.704473,0.009496,0.025461
210584.000000,0.000000,0.000000,916.690918,23.340019,-8.704473,0.009496,0.025461
210585.000000,0.000000,0.000000,916.784668,23.320335,-8.726720,0.009519,0.025437
210586.000000,0.000000,0.000000,916.784668,23.320335,-8.726720,0.009519,0.025437
210587.000000,0.000000,0.000000,916.690918,23.340019,-8.704473,0.009496,0.025461
210588.000000,0.000000,0.000000,916.974121,23.360146,-8.682546,0.009469,0.025475
210589.000000,0.000000,0.000000,916.784668,23.320274,-8.682439,0.009471,0.025437
210590.000000,0.000000,0.000000,916.690918,23.340019,-8.704473,0.009496,0.025461
210591.000000,0.000000,0.000000,916.879395,23.340340,-8.704534,0.009494,0.025456
210592.000000,0.000000,0.000000,916.784668,23.320274,-8.682439,0.009471,0.025437
210593.000000,0.000000,0.000000,916.785156,23.359886,-8.726766,0.009519,0.025480
210594.000000,0.000000,0.000000,916.879883,23.379890,-8.704579,0.009494,0.025499
210595.000000,0.000000,0.000000,916.974609,23.399727,-8.726857,0.009517,0.025518
210596.000000,0.000000,0.000000,916.879883,23.379890,-8.704579,0.009494,0.025499
210597.000000,0.000000,0.000000,916.785645,23.399544,-8.682332,0.009470,0.025523
210598.000000,0.000000,0.000000,916.879883,23.379890,-8.704579,0.009494,0.025499
210599.000000,0.000000,0.000000,916.691406,23.419289,-8.704396,0.009495,0.025548
210600.000000,0.000000,0.000000,916.691406,23.419289,-8.704396,0.009495,0.025548
210601.000000,0.000000,0.000000,916.691406,23.419289,-8.704396,0.009495,0.025548
210602.000000,0.000000,0.000000,916.786133,23.439156,-8.726674,0.009519,0.025567
210603.000000,0.000000,0.000000,916.691895,23.458809,-8.704427,0.009495,0.025591
210604.000000,0.000000,0.000000,916.691895,23.458809,-8.704427,0.009495,0.025591
210605.000000,0.000000,0.000000,916.691895,23.458809,-8.704427,0.009495,0.025591
210606.000000,0.000000,0.000000,916.690918,23.419151,-8.748860,0.009544,0.025547
